date,cloud_pct,cloud_category,ballistic_alerts
2026-02-28,12.4,clear,9941
2026-03-01,27.7,partly_cloudy,10081
2026-03-02,37.5,partly_cloudy,4489
2026-03-03,39.8,partly_cloudy,5952
2026-03-04,45.5,partly_cloudy,6336
2026-03-05,18.9,clear,4823
2026-03-06,7.4,clear,2834
2026-03-07,11.9,clear,7012
2026-03-08,45.8,partly_cloudy,5144
2026-03-09,26.0,partly_cloudy,8396
2026-03-10,44.4,partly_cloudy,5126
2026-03-11,25.1,partly_cloudy,5863
2026-03-12,32.5,partly_cloudy,4664
2026-03-13,53.1,partly_cloudy,3966
2026-03-14,15.0,clear,2747
2026-03-15,33.8,partly_cloudy,2914
2026-03-16,52.8,partly_cloudy,3177
2026-03-17,30.0,partly_cloudy,3567
2026-03-18,14.7,clear,4718
2026-03-19,15.1,clear,6387
2026-03-20,62.6,cloudy,5623
2026-03-21,20.6,clear,2319
2026-03-22,33.5,partly_cloudy,3399
2026-03-23,43.2,partly_cloudy,1163
2026-03-24,57.5,cloudy,3913
2026-03-25,60.8,cloudy,2489
2026-03-26,45.1,partly_cloudy,5110
2026-03-27,56.8,cloudy,2989
2026-03-28,24.6,clear,1787
2026-03-29,23.9,clear,2768
2026-03-30,23.2,clear,1948
2026-03-31,35.5,partly_cloudy,1290
2026-04-01,24.3,clear,3963
2026-04-02,16.6,clear,3262
