date,cloud_pct,cloud_category,inss_barrage
2026-02-28,12.4,clear,44
2026-03-01,27.7,partly_cloudy,55
2026-03-02,37.5,partly_cloudy,16
2026-03-03,39.8,partly_cloudy,10
2026-03-04,45.5,partly_cloudy,10
2026-03-05,18.9,clear,11
2026-03-06,7.4,clear,7
2026-03-07,11.9,clear,12
2026-03-08,45.8,partly_cloudy,9
2026-03-09,26.0,partly_cloudy,13
2026-03-10,44.4,partly_cloudy,9
2026-03-11,25.1,partly_cloudy,11
2026-03-12,32.5,partly_cloudy,10
2026-03-13,53.1,partly_cloudy,11
2026-03-14,15.0,clear,7
2026-03-15,33.8,partly_cloudy,10
2026-03-16,52.8,partly_cloudy,12
2026-03-17,30.0,partly_cloudy,11
2026-03-18,14.7,clear,13
2026-03-19,15.1,clear,19
2026-03-20,62.6,cloudy,18
2026-03-21,20.6,clear,11
2026-03-22,33.5,partly_cloudy,8
2026-03-23,43.2,partly_cloudy,7
2026-03-24,57.5,cloudy,13
2026-03-25,60.8,cloudy,9
2026-03-26,45.1,partly_cloudy,11
2026-03-27,56.8,cloudy,9
2026-03-28,24.6,clear,7
2026-03-29,23.9,clear,11
2026-03-30,23.2,clear,9
