date,ballistic_alert_count
2026-02-28,9941
2026-03-01,10081
2026-03-02,4489
2026-03-03,5952
2026-03-04,6336
2026-03-05,4823
2026-03-06,2834
2026-03-07,7012
2026-03-08,5144
2026-03-09,8396
2026-03-10,5126
2026-03-11,5863
2026-03-12,4664
2026-03-13,3966
2026-03-14,2747
2026-03-15,2914
2026-03-16,3177
2026-03-17,3567
2026-03-18,4718
2026-03-19,6387
2026-03-20,5623
2026-03-21,2319
2026-03-22,3399
2026-03-23,1163
2026-03-24,3913
2026-03-25,2489
2026-03-26,5110
2026-03-27,2989
2026-03-28,1787
2026-03-29,2768
2026-03-30,1948
2026-03-31,1290
2026-04-01,3963
2026-04-02,3262
2026-04-03,3278
2026-04-04,3503
2026-04-05,1327
